+---+----------+---+---------------+--------------+----+---------+-------------+-------------+----------------------------------------+--------+----------------------------------------+-------+----------------------+-------------------------+--------------------------------+---------------------+--------+----+---------------+---+---+--------+--------+-------+-----------+--------+-------+------+-----+------+----------------------+----------+----------+-----------+-----------+------------------+--------------------------+
|_c0|fecha     |mes|clave_temporada|tiempo_ano_mes|ano |temporada|status_compra|sku          |sku_desc                                |id_madre|madre_desc                              |nivel_1|nivel_2               |nivel_3                  |nivel_4                         |grupo_analisis       |id_feria|fob |tipo_moneda    |pp |moq|tipo_moq|cond_moq|display|pais_origen|leadtime|volumen|peso  |inner|master|duracion              |fecha_ini |fecha_ter |fecha_ini_2|fecha_ter_2|SKU18             |id_producto               |
|12 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000105635|MESA TROPICO AUX, 0000, 0000            |10563   |MESA TROPICO AUX                        |CASA   |MUEBLES               |MESAS                    |MESAS AUXILIARES                |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000105635|2018-01-000002000000105635|
|13 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000105659|MESA RATAN II LATE, 0000, 0000          |10565   |MESA RATAN II LATE                      |CASA   |MUEBLES               |MESAS                    |MESAS                           |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |4.25  |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000105659|2018-01-000002000000105659|
|14 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000105871|LAMP. MESA GEO, 0000, 0000              |10587   |LAMP. MESA GEO                          |NIÑO   |DECORACION            |PANTALLAS Y LAMPARAS     |LAMPARAS                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0.086 |6    |48    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000105871|2018-01-000002000000105871|
|15 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000105888|LAMP.COLG.SATUR, 0000, 0000             |10588   |LAMP.COLG.SATUR                         |NIÑO   |DECORACION            |PANTALLAS Y LAMPARAS     |LAMPARAS                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |24    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000105888|2018-01-000002000000105888|
|16 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |S            |2000000106021|NA                                      |95040   |Macetero L circular has                 |CASA   |ESTAR                 |ADORNOS                  |JARRONES Y VASIJAS              |SIN GRUPO DE ANALISIS|0       |4.05|Dólar americano|0  |NA |NA      |NA      |NA     |NA         |NA      |NA     |NA    |1    |3     |10 meses              |NA        |9999-12-31|NA         |NA         |000002000000106021|2018-01-000002000000106021|
|17 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000106397|TLIGHT ORI. BE.MESA, 0000, 0000         |10639   |TLIGHT ORI. BE.MESA                     |CASA   |ESTAR                 |PORTA VELAS              |P.VELA TLIGHT                   |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0.156 |4    |69    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000106397|2018-01-000002000000106397|
|18 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000106595|STAMP DISENO, 0000, 0000                |10659   |STAMP DISENO                            |NIÑO   |PAPELERIA             |ESCRITORIO               |TIMBRES                         |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |15   |360   |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000106595|2018-01-000002000000106595|
|19 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000106779|MESA RIKA 1 MT.DIA, 0000, 0000          |10677   |MESA RIKA 1 MT.DIA                      |CASA   |MUEBLES               |MESAS                    |MESAS                           |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000106779|2018-01-000002000000106779|
|20 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000106847|STORE BAHIA 90*160, 0000, 0000          |10684   |STORE BAHIA 90*160                      |CASA   |ESTAR                 |STORES                   |90 X 160 CMS                    |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |14    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000106847|2018-01-000002000000106847|
|21 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107059|SET 4 FAROL L                           |10705   |SET 4 FAROL L                           |CASA   |ESTAR                 |PORTA VELAS              |FAROLES                         |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |8    |32    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000107059|2018-01-000002000000107059|
|22 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107066|SET 4 FAROL S, 0000, 0000               |10706   |SET 4 FAROL S                           |CASA   |ESTAR                 |PORTA VELAS              |FAROLES                         |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |8    |48    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000107066|2018-01-000002000000107066|
|23 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107141|SET OLLITAS ACERO COCINA, 0000, 0000    |10714   |Set ollitas acero cocina                |NIÑO   |JUGUETERIA            |JUEGOS DE ROLES Y OFICIOS|COCINERO                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0.35  |1    |12    |6 meses               |NA        |9999-12-31|NA         |NA         |000002000000107141|2018-01-000002000000107141|
|24 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107158|SET UTENSILIOS ACERO COCINA, 0000, 0000 |10715   |Set utensilios acero cocina             |NIÑO   |JUGUETERIA            |JUEGOS DE ROLES Y OFICIOS|COCINERO                        |NJU MI COCINA        |0       |1.25|Dólar americano|8  |100|1       |1       |0      |CN         |0       |NA     |0.09  |4    |100   |6 meses               |NA        |9999-12-31|NA         |NA         |000002000000107158|2018-01-000002000000107158|
|25 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107530|BANDEJA CRAFT S, 0000, 0000             |10753   |BANDEJA CRAFT S                         |CASA   |MESA                  |BANDEJAS                 |RECTANGULARES                   |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0.55  |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000107530|2018-01-000002000000107530|
|26 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107547|BANDEJA CRAFT  M, 0000, 0000            |10754   |BANDEJA CRAFT  M                        |CASA   |MESA                  |BANDEJAS                 |RECTANGULARES                   |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0.643 |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000107547|2018-01-000002000000107547|
|27 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107554|BANDEJA CRAFT  L, 0000, 0000            |10755   |BANDEJA CRAFT  L                        |CASA   |MESA                  |BANDEJAS                 |RECTANGULARES                   |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0.929 |1    |10    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000107554|2018-01-000002000000107554|
|28 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107592|CAN.CRAFT. C/MANGO S, 0000, 0000        |10759   |CAN.CRAFT. C/MANGO S                    |CASA   |ESTAR                 |CANASTOS                 |PEQUEÑO (DIAMETRO MENOR A 20 CM)|SIN GRUPO DE ANALISIS|0       |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0.544 |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000107592|2018-01-000002000000107592|
|29 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000107752|SET 6 VELAS T.LIGH POP, 0000, 0000      |10775   |SET 6 VELAS T.LIGH POP                  |CASA   |ESTAR                 |VELAS                    |T-LIGHT                         |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0.17  |1    |96    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000107752|2018-01-000002000000107752|
|30 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000108056|COJIN NATURAL 40*4, 0000, 0000          |10805   |COJIN NATURAL 40*4                      |CASA   |ESTAR                 |COJIN RELLENO            |40 X 40 CMS                     |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |0    |0     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000108056|2018-01-000002000000108056|
|31 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000108308|ENTERITO NINA 0-3, 0000, 0000           |10830   |ENTERITO NINA 0-3                       |NIÑO   |ACCESORIOS Y VESTUARIO|VESTUARIO                |VESTUARIO                       |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000108308|2018-01-000002000000108308|
|32 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000108605|SET ESPEJO PEINETA MINI ACCE, 0000, 0000|10860   |Set espejo peineta mini accesorios      |NIÑO   |ACCESORIOS Y VESTUARIO|BIJOUTERIE               |SET MIXTOS                      |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0.618 |12   |96    |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000108605|2018-01-000002000000108605|
|33 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000108612|SET PULSERA, COLLAR, ANILLO, 0000, 0000 |10861   |Set pulsera collar anillo mini accesorio|NIÑO   |ACCESORIOS Y VESTUARIO|BIJOUTERIE               |SET MIXTOS                      |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0.027 |24   |144   |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000108612|2018-01-000002000000108612|
|34 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109039|DECORADOR TORTA RE, 0000, 0000          |10903   |DECORADOR TORTA RE                      |CASA   |COCINA                |REPOSTERIA               |DECORADOR DE TORTA              |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0.053 |12   |576   |12 meses              |NA        |9999-12-31|NA         |NA         |000002000000109039|2018-01-000002000000109039|
|35 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109190|MUEB. 4 CAJ RAT#10, 0000, 0000          |10919   |MUEB. 4 CAJ RAT#10                      |CASA   |MUEBLES               |CAJONERAS Y ARMARIOS     |CAJONERAS                       |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109190|2018-01-000002000000109190|
|36 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109213|MUEB.6 CAJ.RAT #12, 0000, 0000          |10921   |MUEB.6 CAJ.RAT #12                      |CASA   |MUEBLES               |CAJONERAS Y ARMARIOS     |CAJONERAS                       |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109213|2018-01-000002000000109213|
|37 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109459|ARMARIO L CH, 0000, 0000                |10945   |ARMARIO L CH                            |CASA   |MUEBLES               |CAJONERAS Y ARMARIOS     |ARMARIOS                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |71.2  |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109459|2018-01-000002000000109459|
|38 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109466|ARMARIO CIRCU.3 CAJ, 0000, 0000         |10946   |ARMARIO CIRCU.3 CAJ                     |CASA   |MUEBLES               |CAJONERAS Y ARMARIOS     |ARMARIOS                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |76.212|1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109466|2018-01-000002000000109466|
|39 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109480|ARMARIO ANTIQ. 2PUE, 0000, 0000         |10948   |ARMARIO ANTIQ. 2PUE                     |CASA   |MUEBLES               |CAJONERAS Y ARMARIOS     |ARMARIOS                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |71.2  |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109480|2018-01-000002000000109480|
|40 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109497|BAUL LATERAL JOY L, 0000, 0000          |10949   |BAUL LATERAL JOY L                      |CASA   |MUEBLES               |BAULES                   |BAULES                          |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |6.6   |1    |1     |Sin ingresar/No aplica|2008-09-01|2013-08-31|NA         |NA         |000002000000109497|2018-01-000002000000109497|
|41 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109503|BAUL LATERAL JOY M, 0000, 0000          |10950   |BAUL LATERAL JOY M                      |CASA   |MUEBLES               |BAULES                   |BAULES                          |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |5.2   |1    |1     |Sin ingresar/No aplica|2008-09-01|2013-08-31|NA         |NA         |000002000000109503|2018-01-000002000000109503|
|42 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109510|BAUL MESA JOY L, 0000, 0000             |10951   |BAUL MESA JOY L                         |CASA   |MUEBLES               |BAULES                   |BAULES                          |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |6.951 |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109510|2018-01-000002000000109510|
|43 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109527|BAUL MESA JOY M, 0000, 0000             |10952   |BAUL MESA JOY M                         |CASA   |MUEBLES               |BAULES                   |BAULES                          |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |5.12  |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109527|2018-01-000002000000109527|
|44 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109534|BAUL MESA MONTE L, 0000, 0000           |10953   |BAUL MESA MONTE L                       |CASA   |MUEBLES               |BAULES                   |BAULES                          |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |11.94 |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109534|2018-01-000002000000109534|
|45 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109541|BAUL MESA MONTE M, 0000, 0000           |10954   |BAUL MESA MONTE M                       |CASA   |MUEBLES               |BAULES                   |BAULES                          |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |8.194 |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109541|2018-01-000002000000109541|
|46 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109695|LLAVERO FIGURA GOMA INFANTIL, 0000, 0000|10969   |Llavero figura goma infantil            |NIÑO   |PAPELERIA             |LLAVEROS                 |LLAVEROS                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0.023 |1    |480   |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109695|2018-01-000002000000109695|
|47 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109701|MARCADOR LIBRO, 0000, 0000              |10970   |MARCADOR LIBRO                          |NIÑO   |PAPELERIA             |ESCRITORIO               |ORGANIZADORES DE ESCRITORIO     |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0.02  |480  |480   |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000109701|2018-01-000002000000109701|
|48 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |NA           |2000000109817|NA                                      |95040   |Macetero L circular has                 |CASA   |ESTAR                 |ADORNOS                  |JARRONES Y VASIJAS              |SIN GRUPO DE ANALISIS|0       |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0     |1    |3     |10 meses              |NA        |9999-12-31|NA         |NA         |000002000000109817|2018-01-000002000000109817|
|49 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000109947|PORTA CD PVC JUVENIL, 0000, 0000        |10994   |PORTA CD PVC JUVENIL                    |NIÑO   |PAPELERIA             |ELECTRONICA              |PORTA CDS                       |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0     |24   |96    |6 meses               |NA        |9999-12-31|NA         |NA         |000002000000109947|2018-01-000002000000109947|
|50 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |NA           |2000000110202|NA                                      |95040   |Macetero L circular has                 |CASA   |ESTAR                 |ADORNOS                  |JARRONES Y VASIJAS              |SIN GRUPO DE ANALISIS|0       |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0.17  |1    |3     |10 meses              |NA        |9999-12-31|NA         |NA         |000002000000110202|2018-01-000002000000110202|
+---+----------+---+---------------+--------------+----+---------+-------------+-------------+----------------------------------------+--------+----------------------------------------+-------+----------------------+-------------------------+--------------------------------+---------------------+--------+----+---------------+---+---+--------+--------+-------+-----------+--------+-------+------+-----+------+----------------------+----------+----------+-----------+-----------+------------------+--------------------------+
